candidate,depth,mean_predicted_gain,mean_realized_gain,n,ordered,positive_gain_rate,quantile,score_max,score_min,spearman
v3_repair__compact,1,1.843037851599817e-05,2.599016464502495e-05,2553,True,0.5910693301997649,4,0.00011357017911395404,1.0890318586927942e-05,0.08469256982479285
v3_repair__compact,2,-5.827244720952204e-06,-1.57050959037153e-05,2554,True,0.3312451057165231,0,-4.27412035654837e-06,-1.4609329222773672e-05,0.06736422253975827
v3_repair__compact,2,-3.3914468082195753e-06,-1.38365111914343e-05,2554,True,0.34651527016444794,1,-2.5998659213787023e-06,-4.2724971582500494e-06,0.06736422253975827
v3_repair__compact,2,-1.8501503902859244e-06,-1.1499454176615698e-05,2554,True,0.35787000783085354,2,-1.108953634996481e-06,-2.599466958975766e-06,0.06736422253975827
v3_repair__compact,2,-2.475489518520098e-07,-9.288208820804942e-06,2553,True,0.3932628280454367,3,7.987351342531555e-07,-1.10839006101527e-06,0.06736422253975827
v3_repair__compact,2,4.271832198015607e-06,-8.353230552007311e-06,2553,True,0.3983548766157462,4,0.00011593632268329379,7.992841977340348e-07,0.06736422253975827
v3_repair__compact,3,-1.6293083842415803e-05,-3.548752927517091e-05,2554,False,0.15544244322631168,0,-1.1932462500763253e-05,-4.111161399984785e-05,0.07154728579703593
v3_repair__compact,3,-9.687921901683213e-06,-2.9080272922963312e-05,2554,False,0.19028974158183243,1,-7.554323193858939e-06,-1.1932331377042648e-05,0.07154728579703593
v3_repair__compact,3,-5.542388971554171e-06,-3.1753871010101534e-05,2554,False,0.1961628817541112,2,-3.606352810602096e-06,-7.553718318882878e-06,0.07154728579703593
v3_repair__compact,3,-1.500500806411715e-06,-2.7665052536686776e-05,2553,False,0.2072072072072072,3,8.408026386241829e-07,-3.606231335890296e-06,0.07154728579703593
v3_repair__compact,3,5.898313225311596e-06,-2.7712769743001847e-05,2553,False,0.25381903642773207,4,9.112660346827922e-05,8.41282318047535e-07,0.07154728579703593
stagewise__full,1,-8.271087404626733e-07,0.00010654331565210661,2554,True,0.7145653876272514,0,5.478215447507137e-05,-0.000298555957025326,0.2540415156557795
stagewise__full,1,8.594988729404232e-05,0.000130274201955806,2554,True,0.7486296006264683,1,0.00011559473293413667,5.4790791355827095e-05,0.2540415156557795
stagewise__full,1,0.00014885691869269158,0.00015655618862053138,2554,True,0.7736883320281911,2,0.0001870308171320438,0.00011559625179630812,0.2540415156557795
stagewise__full,1,0.00024021948693560882,0.00021343265407349545,2553,True,0.7830003916960439,3,0.00030767484259415414,0.00018704458575766322,0.2540415156557795
stagewise__full,1,0.0004969574014232623,0.0003669982739976657,2553,True,0.8303956130043086,4,0.0016151903461461004,0.00030793318897483213,0.2540415156557795
stagewise__full,2,-5.526232206922828e-06,4.131479951425054e-05,2554,True,0.6977290524667189,0,1.763309783344314e-05,-0.0001248022737600496,0.2342314494301116
stagewise__full,2,3.0364218476848347e-05,5.210019389992272e-05,2554,True,0.7270947533281128,1,4.2005937378656265e-05,1.765856672706484e-05,0.2342314494301116
stagewise__full,2,5.4371973643308025e-05,5.953556129564119e-05,2554,True,0.7462803445575568,2,6.818981890768187e-05,4.202836103102728e-05,0.2342314494301116
stagewise__full,2,8.687478922864494e-05,7.34597657392399e-05,2553,True,0.7708578143360753,3,0.00011053290572520576,6.819121221606286e-05,0.2342314494301116
stagewise__full,2,0.00018431694590172174,0.00014729694162994838,2553,True,0.8397963180571876,4,0.0006703467578259847,0.0001105630197671798,0.2342314494301116
stagewise__full,3,-6.361758344981306e-06,3.324650547687058e-05,2554,True,0.6981205951448708,0,1.0403524285630076e-05,-9.812025011876786e-05,0.1901632137695142
